date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140506,-0.023836,-0.009384,-0.04394,-0.004853,0.001146,-0.010237,-0.006431,-0.003142,-0.007437,0.048093,-0.020397,-0.032552,-0.034856,-0.010402,-0.002455,-0.011379
20140507,-0.008745,0.009345,-0.019477,0.001219,0.006489,0.006602,-0.003841,0.000189,0.004407,-0.00787,0.00137,-0.013627,-0.026072,0.005191,0.00914,-0.06632
20140508,0.004189,0.005453,-0.010978,-0.004627,-0.001138,0.006471,-0.00206,0.002206,0.011628,0.017063,0.012312,0.007675,-0.005552,0.005035,0.0,-0.004403
20140509,0.0124,-0.002523,0.008457,0.00416,-0.001519,8.7e-05,0.006193,0.0,-0.005856,-0.007947,-0.024324,0.008632,0.002592,0.002826,0.001277,-0.004717
20140512,0.022426,0.010875,0.045248,0.022173,0.002662,0.007385,0.0131,0.005912,0.024215,0.025515,0.029363,0.018627,0.062649,0.010503,0.010901,0.020438
20140513,0.005776,0.011258,0.0,-0.00143,0.003034,-0.01423,-0.001973,0.005002,-0.017252,-0.005352,-0.016146,0.001812,-0.021524,0.00038,-0.003097,-0.001451
20140514,-0.013166,-0.004453,-0.010028,-0.000239,-0.004537,-0.002192,-0.018055,0.000498,-0.011487,-0.003636,-0.009847,0.001151,-0.007651,-0.010517,-0.00771,-0.006686
20140515,-0.009899,-0.015905,-0.022134,0.001194,-0.012153,0.060066,-0.011975,-0.007835,-0.015786,-0.008466,-0.005525,-0.01117,-0.008867,-0.01716,-0.003131,-0.010828
20140516,-0.00155,0.005808,0.001742,-0.005724,-0.007305,0.007858,0.003218,-0.004512,0.002228,0.008097,-0.002222,0.02392,0.00739,0.013811,-0.003839,-0.011538
20140519,0.019932,-0.002009,0.020512,0.011274,0.008521,-0.000821,-0.000321,0.004911,0.013558,-0.002337,0.032294,0.009085,0.027606,0.003085,0.005022,0.014367
20140520,0.002895,-0.001761,-0.010978,-0.014231,0.0,-0.009446,-0.011283,0.000627,0.002412,-0.01171,-0.016181,-0.007878,-0.006387,-0.006278,-0.008482,-0.00059
20140521,0.017228,0.016885,0.032958,0.002887,0.006144,0.014925,0.008113,-0.002379,-0.001313,0.013181,0.0,0.012316,-0.051049,0.002063,0.004453,0.014467
20140522,0.01046,-0.006196,0.000496,-0.003839,-0.001908,-0.004085,-0.003809,-0.001381,0.010734,0.003947,0.004386,0.010885,0.061367,0.004632,0.00175,0.009895
20140523,0.015033,0.000499,0.013731,0.015173,0.005315,0.005742,0.0014,0.004022,0.002384,0.027228,0.009279,0.018211,0.002628,0.009862,0.006289,0.009222
20140527,0.019635,0.001745,0.034702,-0.005694,0.016014,0.007749,-0.006239,0.007261,0.002162,0.005386,0.017847,0.014774,0.017787,0.005707,0.003704,0.002855
